Threshold Acuracy Bleaching
116 0.933800 2
20 0.935000 0
20 0.940600 1
20 0.942800 2
220 0.860000 0
220 0.900300 1
220 0.896200 2
173 0.901300 0
173 0.916000 1
173 0.913800 2
178 0.891400 0
178 0.917300 1
178 0.910400 2
119 0.922800 0
119 0.936700 1
119 0.928500 2
190 0.897900 0
190 0.916700 1
190 0.917400 2
212 0.878300 0
212 0.905800 1
212 0.902600 2
52 0.932200 0
52 0.937300 1
52 0.936600 2
231 0.828000 0
231 0.889400 1
231 0.894700 2
24 0.933300 0
24 0.938600 1
24 0.938800 2
253 0.671600 0
253 0.800900 1
253 0.794100 2
210 0.867600 0
210 0.903200 1
210 0.902900 2
180 0.902300 0
180 0.910200 1
180 0.911900 2
167 0.908400 0
167 0.921900 1
167 0.916000 2
217 0.867400 0
217 0.899800 1
217 0.904000 2
171 0.893600 0
171 0.921400 1
171 0.915400 2
65 0.930500 0
65 0.935000 1
65 0.936500 2
201 0.879700 0
201 0.914600 1
201 0.911400 2
192 0.898500 0
192 0.915700 1
192 0.915300 2
51 0.934700 0
51 0.936800 1
51 0.939300 2
94 0.924300 0
94 0.934300 1
94 0.932000 2
195 0.888500 0
195 0.910700 1
195 0.915900 2
233 0.827000 0
233 0.885100 1
233 0.886600 2
22 0.932300 0
22 0.939400 1
22 0.941700 2
114 0.921800 0
114 0.932000 1
114 0.932900 2
158 0.906700 0
158 0.924100 1
158 0.924400 2
48 0.935400 0
48 0.937400 1
48 0.939400 2
133 0.918900 0
133 0.925500 1
133 0.926300 2
62 0.929500 0
62 0.937900 1
62 0.931500 2
241 0.806700 0
241 0.874400 1
241 0.877700 2
87 0.931400 0
87 0.936900 1
87 0.933700 2
103 0.930600 0
103 0.936100 1
103 0.936300 2
107 0.923500 0
107 0.935200 1
107 0.929700 2
129 0.918900 0
129 0.930700 1
129 0.930200 2
82 0.928800 0
82 0.931800 1
82 0.937800 2
234 0.835500 0
234 0.886500 1
234 0.887300 2
162 0.897800 0
162 0.924600 1
162 0.920400 2
143 0.916000 0
143 0.930900 1
143 0.923500 2
15 0.940600 0
15 0.938900 1
15 0.944300 2
160 0.913600 0
160 0.915900 1
160 0.922200 2
99 0.927700 0
99 0.935700 1
99 0.932000 2
186 0.885700 0
186 0.915000 1
186 0.911700 2
76 0.928900 0
76 0.937200 1
76 0.934200 2
215 0.850700 0
215 0.897600 1
215 0.895800 2
251 0.768200 0
251 0.854300 1
251 0.850000 2
43 0.934300 0
43 0.936300 1
43 0.933700 2
96 0.929500 0
96 0.933000 1
96 0.929000 2
164 0.907400 0
164 0.928500 1
164 0.920000 2
93 0.928500 0
93 0.934400 1
93 0.931700 2
17 0.932700 0
17 0.938800 1
17 0.938300 2
41 0.934200 0
41 0.941000 1
41 0.934100 2
214 0.866500 0
214 0.899000 1
214 0.898600 2
216 0.845200 0
216 0.900700 1
216 0.900100 2
31 0.932000 0
31 0.941500 1
31 0.939300 2
254 0.358200 0
254 0.484300 1
254 0.477200 2
242 0.813700 0
242 0.876400 1
242 0.878700 2
248 0.796000 0
248 0.861200 1
248 0.849600 2
156 0.919500 0
156 0.926300 1
156 0.920200 2
55 0.929200 0
55 0.940200 1
55 0.939500 2
139 0.914800 0
139 0.927100 1
139 0.928600 2
232 0.845300 0
232 0.888000 1
232 0.885300 2
185 0.901400 0
185 0.922700 1
185 0.913800 2
105 0.926000 0
105 0.934400 1
105 0.932600 2
42 0.932900 0
42 0.937800 1
42 0.937300 2
174 0.903200 0
174 0.917000 1
174 0.913800 2
112 0.919100 0
112 0.932700 1
112 0.932700 2
29 0.933400 0
29 0.935500 1
29 0.936300 2
181 0.895100 0
181 0.915900 1
181 0.915600 2
37 0.933700 0
37 0.940800 1
37 0.939700 2
118 0.922200 0
118 0.930100 1
118 0.929000 2
239 0.826700 0
239 0.880900 1
239 0.884700 2
132 0.920400 0
132 0.931200 1
132 0.929100 2
161 0.909900 0
161 0.926300 1
161 0.926000 2
228 0.846400 0
228 0.895400 1
228 0.893400 2
209 0.875100 0
209 0.903000 1
209 0.907000 2
247 0.795300 0
247 0.864000 1
247 0.857400 2
39 0.934400 0
39 0.937400 1
39 0.937600 2
229 0.828800 0
229 0.888200 1
229 0.895600 2
230 0.857400 0
230 0.891700 1
230 0.894900 2
142 0.913100 0
142 0.924400 1
142 0.925100 2
138 0.916200 0
138 0.930500 1
138 0.927700 2
45 0.929100 0
45 0.935700 1
45 0.937100 2
19 0.934100 0
19 0.940200 1
19 0.943500 2
218 0.851200 0
218 0.896200 1
218 0.889200 2
84 0.931600 0
84 0.937900 1
84 0.930900 2
219 0.863300 0
219 0.895800 1
219 0.892400 2
117 0.926000 0
117 0.928200 1
117 0.929300 2
10 0.935000 0
10 0.936300 1
10 0.940700 2
69 0.933800 0
69 0.937200 1
69 0.935400 2
197 0.892100 0
197 0.913500 1
197 0.914200 2
128 0.917200 0
128 0.933400 1
128 0.926700 2
245 0.799000 0
245 0.871800 1
245 0.868300 2
18 0.935500 0
18 0.939500 1
18 0.941300 2
83 0.929000 0
83 0.937000 1
83 0.932200 2
137 0.915200 0
137 0.927500 1
137 0.929000 2
46 0.933400 0
46 0.939800 1
46 0.936200 2
73 0.932800 0
73 0.934800 1
73 0.931800 2
88 0.931800 0
88 0.935600 1
88 0.937100 2
120 0.925800 0
120 0.929300 1
120 0.931900 2
7 0.935800 0
7 0.944700 1
7 0.938700 2
157 0.911500 0
157 0.928500 1
157 0.922700 2
68 0.929400 0
68 0.938400 1
68 0.935600 2
123 0.918100 0
123 0.925100 1
123 0.927700 2
40 0.932200 0
40 0.936700 1
40 0.935500 2
89 0.931200 0
89 0.933600 1
89 0.930900 2
115 0.914100 0
115 0.928800 1
115 0.933100 2
95 0.926100 0
95 0.934600 1
95 0.934700 2
61 0.927000 0
61 0.937400 1
61 0.937200 2
198 0.878900 0
198 0.908600 1
198 0.912000 2
175 0.899400 0
175 0.917600 1
175 0.916500 2
35 0.931700 0
35 0.939400 1
35 0.936600 2
54 0.934900 0
54 0.934500 1
54 0.933400 2
166 0.909400 0
166 0.924200 1
166 0.925400 2
77 0.934300 0
77 0.934500 1
77 0.936800 2
140 0.916100 0
140 0.926500 1
140 0.925700 2
187 0.895300 0
187 0.912000 1
187 0.915400 2
23 0.934100 0
23 0.943500 1
23 0.936400 2
109 0.922300 0
109 0.932900 1
109 0.933900 2
134 0.924600 0
134 0.928500 1
134 0.926700 2
100 0.923100 0
100 0.930500 1
100 0.932100 2
211 0.875200 0
211 0.902200 1
211 0.904100 2
67 0.929200 0
67 0.936600 1
67 0.929800 2
97 0.925000 0
97 0.939300 1
97 0.934500 2
152 0.918200 0
152 0.927300 1
152 0.922100 2
5 0.936400 0
5 0.940800 1
5 0.938200 2
49 0.933900 0
49 0.942400 1
49 0.938300 2
72 0.928600 0
72 0.933600 1
72 0.937600 2
122 0.923300 0
122 0.929100 1
122 0.933300 2
203 0.875200 0
203 0.905800 1
203 0.910000 2
85 0.928700 0
85 0.929600 1
85 0.931700 2
151 0.915800 0
151 0.923300 1
151 0.927900 2
25 0.933300 0
25 0.939300 1
25 0.943200 2
11 0.931700 0
11 0.945600 1
11 0.941200 2
66 0.928500 0
66 0.938500 1
66 0.939400 2
153 0.915700 0
153 0.923900 1
153 0.922000 2
221 0.857600 0
221 0.896100 1
221 0.893900 2
